Rank,School,Conference,Power Rating,oe,de,tempo,id,RANK,TEAM,2021-22 RECORD,POINTS
206,Oakland,Horz,10.95,102.37,105.40,67.66,149,,,,
207,South Alabama,SB,10.94,99.79,102.15,66.32,330,,,,
208,Northern Colorado,BSky,10.90,102.75,106.00,68.70,75,,,,
209,Austin Peay,ASun,10.89,99.99,102.50,65.10,242,,,,
210,Nicholls St.,Slnd,10.89,99.99,102.52,69.99,302,lit,,,
211,Rider,MAAC,10.81,100.56,103.43,67.62,173,,,,
212,Georgia St.,SB,10.80,98.55,100.87,68.60,328,,,,
213,UC Davis,BW,10.76,98.82,101.32,67.66,118,,,,
214,Coastal Carolina,SB,10.75,99.35,102.00,68.60,81,,,,
215,Mount St. Mary's,MAAC,10.73,99.86,102.70,62.95,226,,,,
216,Florida Gulf Coast,ASun,10.66,100.39,103.54,68.50,38,,,,
217,Utah Tech,WAC,10.59,98.62,101.45,74.10,750,,,,
218,FIU,CUSA,10.53,100.82,104.39,68.20,140,,,,
219,Gardner Webb,BSth,10.50,96.61,99.10,67.10,83,,,,
220,Morehead St.,OVC,10.48,97.26,99.97,65.22,236,,,,
221,Troy,SB,10.37,97.80,100.90,67.54,333,,,,
222,Fordham,A10,10.29,92.73,94.64,66.40,53,,,,
223,Wright St.,Horz,10.24,100.37,104.46,69.76,150,,,,
224,Texas A&M Corpus Chris,Slnd,10.21,98.35,101.97,69.36,292,,,,
225,Campbell,BSth,10.06,97.53,101.26,63.10,90,,,,
226,Oregon St.,P12,10.06,102.03,107.00,66.25,252,,,,
227,East Tennessee St.,SC,10.05,99.60,103.93,65.30,282,,,,
228,Bellarmine,ASun,9.98,102.01,107.15,62.80,1025,,,,
229,Dartmouth,Ivy,9.97,98.82,103.10,65.00,165,,,,
230,Detroit,Horz,9.92,102.15,107.47,66.00,154,,,,
231,Tarleton St.,WAC,9.91,96.91,100.80,63.75,1024,,,,
232,Brown,Ivy,9.78,96.70,100.85,68.30,163,,,,
233,Manhattan,MAAC,9.76,99.85,104.90,67.91,171,,,,
234,East Carolina,Amer,9.74,97.00,101.30,67.00,9,,,,
235,Valparaiso,MVC,9.73,98.00,102.63,66.03,148,,,,
236,Kennesaw St.,ASun,9.72,100.98,106.43,67.10,42,,,,
237,North Florida,ASun,9.67,100.25,105.61,67.73,36,,,,
238,Pacific,WCC,9.66,99.35,104.50,68.16,339,,,,
239,Western Michigan,MAC,9.65,101.51,107.27,67.90,188,,,,
240,Air Force,MWC,9.64,98.16,103.02,63.40,221,,,,
241,Siena,MAAC,9.58,97.80,102.70,66.35,168,,,,
242,Binghamton,AE,9.57,100.26,105.84,67.10,20,,,,
243,UC San Diego,BW,9.57,100.44,106.08,68.81,1007,,,,
244,Cal Poly,BW,9.56,98.23,103.30,65.50,122,,,,
245,High Point,BSth,9.55,98.67,103.88,66.92,85,,,,
246,Drexel,CAA,9.54,98.00,103.05,66.00,132,,,,
247,Denver,Sum,9.44,101.58,107.83,66.40,319,,,,
248,Bowling Green,MAC,9.37,101.06,107.32,71.80,181,,,,
249,Western Carolina,SC,9.36,101.10,107.40,68.20,287,,,,
250,Niagara,MAAC,9.30,97.47,102.92,64.58,175,,,,
251,Georgia Southern,SB,9.27,96.77,102.10,65.54,329,,,,
252,Boston University,Pat,9.26,99.43,105.50,65.40,259,,,,
253,Queens,ASun,9.22,99.83,106.10,71.20,701,,,,
254,Weber St.,BSky,9.18,99.05,105.20,69.70,69,,,,
255,Northern Arizona,BSky,9.17,101.85,108.78,65.09,79,,,,
256,Saint Peter's,MAAC,9.16,92.89,97.40,66.43,169,,,,
257,Loyola MD,Pat,9.12,95.80,101.20,66.23,262,,,,
258,Cleveland St.,Horz,9.09,97.60,103.57,69.90,156,,,,
259,UTSA,CUSA,9.08,98.11,104.23,69.87,147,,,,
260,Southern,SWAC,9.05,95.64,101.16,69.63,305,,,,
261,Lehigh,Pat,9.00,99.27,105.89,68.51,260,,,,
262,Albany,AE,8.97,97.89,104.20,65.60,13,,,,
263,Texas Southern,SWAC,8.94,96.69,102.75,69.50,304,,,,
264,Eastern Kentucky,ASun,8.91,99.65,106.58,72.18,237,,,,
265,Bucknell,Pat,8.89,101.90,109.48,68.80,257,,,,
266,Howard,MEAC,8.86,100.16,107.33,70.22,195,,,,
267,San Jose St.,MWC,8.83,99.46,106.51,65.36,222,,,,
268,Merrimack,NEC,8.77,95.65,101.81,63.18,817,,,,
269,Robert Morris,Horz,8.76,101.14,108.81,66.70,230,,,,
270,Louisiana Monroe,SB,8.71,98.92,106.10,67.21,326,,,,
271,Miami OH,MAC,8.70,98.03,105.01,68.38,182,,,,
272,SIU Edwardsville,OVC,8.65,97.13,103.96,68.48,244,,,,
273,Sacramento St.,BSky,8.59,98.79,106.21,63.20,77,,,,
274,Morgan St.,MEAC,8.57,96.95,103.92,71.55,199,,,,
275,North Carolina A&T,CAA,8.54,96.97,104.00,68.93,196,,,,
276,Tennessee St.,OVC,8.45,98.92,106.70,68.51,235,,,,
277,Arkansas St.,SB,8.41,96.48,103.69,68.00,327,,,,
278,Little Rock,OVC,8.38,98.12,105.84,67.09,323,,,,
279,Wagner,NEC,8.37,95.40,102.40,66.00,223,,,,
280,Cal St. Bakersfield,BW,8.31,97.78,105.55,64.30,346,,,,
281,Southern Indiana,OVC,8.28,95.01,102.10,70.10,1212,,,,
282,Stony Brook,CAA,8.25,100.14,108.70,68.08,12,,,,
283,St. Francis PA,NEC,8.24,97.84,105.79,67.80,225,,,,
284,North Carolina Central,MEAC,8.22,99.54,108.00,67.12,197,,,,
285,Radford,BSth,8.21,97.64,105.60,64.02,86,,,,
286,USC Upstate,BSth,8.12,99.03,107.59,68.63,43,,,,
287,Illinois Chicago,MVC,8.10,97.64,105.85,68.86,157,,,,
288,American,Pat,8.09,97.87,106.17,65.90,265,,,,
289,Presbyterian,BSth,8.06,94.76,102.28,64.82,89,,,,
290,St. Thomas,Sum,7.99,102.27,112.00,65.26,1112,,,,
291,Tennessee Martin,OVC,7.98,98.04,106.65,68.57,241,,,,
292,UMBC,AE,7.94,98.44,107.24,67.96,19,,,,
293,The Citadel,SC,7.85,98.25,107.20,64.50,288,,,,
294,Canisius,MAAC,7.79,96.06,104.54,68.90,172,,,,
295,Monmouth,CAA,7.75,95.24,103.60,68.69,166,,,,
296,Alcorn St.,SWAC,7.73,96.93,105.80,68.30,307,,,,
297,Prairie View A&M,SWAC,7.67,95.87,104.60,70.10,313,,,,
298,Army,Pat,7.64,95.14,103.74,68.80,263,,,,
299,UT Arlington,WAC,7.62,93.04,101.10,65.15,325,,,,
300,Jackson St.,SWAC,7.48,93.86,102.46,69.85,306,,,,
301,Coppin St.,MEAC,7.47,95.30,104.30,73.30,200,,,,
302,Northern Illinois,MAC,7.35,94.68,103.81,67.02,186,,,,
303,Southeast Missouri St.,OVC,7.34,98.10,108.17,70.09,243,,,,
304,Lafayette,Pat,7.31,99.32,109.80,68.50,266,,,,
305,Milwaukee,Horz,7.30,97.02,106.90,64.00,151,,,,
306,Columbia,Ivy,7.25,96.82,106.75,69.30,159,,,,
307,Portland St.,BSky,7.25,97.01,107.00,70.75,76,,,,
308,William & Mary,CAA,7.13,97.20,107.50,68.44,125,,,,
309,Stetson,ASun,7.12,96.64,106.81,65.77,41,,,,
310,St. Francis NY,NEC,7.06,96.12,106.29,68.32,228,,,,
311,Grambling St.,SWAC,7.02,94.36,104.13,69.29,312,,,,
312,Marist,MAAC,6.99,94.49,104.39,66.02,176,,,,
313,Central Michigan,MAC,6.88,96.44,107.10,67.50,185,,,,
314,Alabama A&M,SWAC,6.83,91.69,101.18,67.90,309,,,,
315,Eastern Michigan,MAC,6.77,95.89,106.66,69.70,187,,,,
316,Maryland Eastern Shore,MEAC,6.71,92.77,102.81,67.80,193,,,,
317,Southeastern Louisiana,Slnd,6.61,96.27,107.50,70.37,300,,,,
318,Elon,CAA,6.60,94.16,104.83,64.00,130,,,,
319,Western Illinois,Sum,6.57,95.16,106.19,70.88,322,,,,
320,Sacred Heart,NEC,6.54,96.23,107.60,67.35,227,,,,
321,UMKC,Sum,6.42,93.02,103.80,70.10,362,,,,
322,New Orleans,Slnd,6.28,94.50,105.99,71.88,176,,,,
323,Cal St. Northridge,BW,6.28,96.57,108.64,65.90,121,,,,
324,Alabama St.,SWAC,6.23,95.42,107.28,70.10,311,,,,
325,Charleston Southern,BSth,6.23,96.04,108.07,68.80,88,,,,
326,Tennessee Tech,OVC,6.19,97.41,109.90,68.88,234,,,,
327,Hampton,CAA,6.07,95.70,108.00,69.50,189,,,,
328,Northwestern St.,Slnd,5.97,96.31,109.00,67.69,301,,,,
329,Central Arkansas,ASun,5.94,96.52,109.35,71.60,298,,,,
330,North Alabama,ASun,5.89,92.86,104.80,68.59,396,,,,
331,McNeese St.,Slnd,5.89,97.49,110.70,69.61,299,,,,
332,Central Connecticut,NEC,5.87,96.33,109.27,64.60,232,,,,
333,Nebraska Omaha,Sum,5.85,97.53,110.83,67.94,316,,,,
334,Idaho St.,BSky,5.85,95.13,107.79,64.45,72,,,,
335,Texas A&M Commerce,Slnd,5.76,96.00,109.10,72.00,392,,,,
336,Houston Christian,Slnd,5.65,95.51,108.73,70.56,293,,,,
337,Bethune Cookman,SWAC,5.63,93.96,106.78,65.80,192,,,,
338,North Dakota,Sum,5.62,95.91,109.30,67.52,71,,,,
339,NJIT,AE,5.59,94.75,107.90,66.59,39,,,,
340,Holy Cross,Pat,5.30,94.22,107.87,67.70,264,,,,
341,Maine,AE,5.14,94.80,108.97,69.00,17,,,,
342,LIU Brooklyn,NEC,5.11,93.99,108.00,72.50,229,,,,
343,VMI,SC,5.10,94.98,109.30,69.50,290,,,,
344,Evansville,MVC,5.07,92.25,105.88,63.10,203,,,,
345,Chicago St.,ind,5.06,97.30,112.34,65.60,351,,,,
346,UT Rio Grande Valley,WAC,4.87,94.59,109.32,71.76,350,,,,
347,Idaho,BSky,4.76,95.83,111.13,69.18,73,,,,
348,Southern Miss,SB,4.76,92.73,107.20,67.17,143,,,,
349,New Hampshire,AE,4.69,94.33,109.40,63.99,14,,,,
350,Incarnate Word,Slnd,4.35,95.66,111.87,64.85,294,,,,
351,South Carolina St.,MEAC,4.31,93.80,109.59,70.00,190,,,,
352,Green Bay,Horz,2.66,90.40,109.00,65.08,152,,,,
353,Lindenwood,OVC,2.55,90.90,109.90,68.00,741,,,,
354,Fairleigh Dickinson,NEC,2.40,92.17,111.85,69.70,224,,,,
355,Stonehill,NEC,2.38,90.28,109.50,65.80,1213,,,,
356,Eastern Illinois,OVC,2.27,88.64,107.65,64.70,239,,,,
357,Lamar,Slnd,2.19,89.54,108.99,66.06,303,,,,
358,Florida A&M,SWAC,1.82,88.90,109.00,66.50,198,,,,
359,Delaware St.,MEAC,1.46,89.26,110.28,68.40,201,,,,
360,Hartford,ind,1.22,90.10,111.90,67.30,18,,,,
361,Mississippi Valley St.,SWAC,0.96,90.98,113.61,66.94,308,,,,
362,Arkansas Pine Bluff,SWAC,0.50,90.11,113.55,66.90,310,,,,
363,IUPUI,Horz,-2.54,83.54,112.10,62.34,317,,,,
,,,,,,,,,,,
,,,,101.73,101.19,,,,,,
